Tag,DevComment
Action.Ability.Dash,Dash - movement ability
Action.Ability.Block,Block - defensive ability
Action.Ability.BasicAttack,Basic Attack - jab
Action.Ability.HeavyAttack,Heavy Attack - knockback
Action.Ability.KineticPulse,Kinetic Pulse - force push ability
Action.Ability.DebrisPull,Debris Pull - magnetic pull ability
Action.Ability.CoolantSpray,Coolant Spray - area hazard ability
Action.Ability.SystemHack,System Hack - remote interaction ability
Action.Ability.FloorDestabilizer,Floor Destabilizer - medium risk ability
Action.Ability.ImpactGauntlet,Impact Gauntlet - charged punch ability
Action.Ability.LocalizedEMP,Localized EMP - disable tech ability
Action.Ability.SeismicStamp,Seismic Stamp - high risk ground smash
Action.Ability.GravityAnchor,Gravity Anchor - high risk object launcher
Action.Ability.AirlockBreach,Airlock Breach - high risk decompression
Combat.State.Attacking,Character is currently attacking
Combat.State.Blocking,Character is actively blocking
Combat.State.Staggered,Character is staggered (poise broken)
Combat.State.Vulnerable,Character is vulnerable to damage
Combat.State.Invincible,Character has i-frames
Combat.State.Dead,Character is dead
Combat.State.Dashing,Character is dashing
Combat.State.Ragdoll,Character is in ragdoll state
Vulnerability.Tier.Stunned,Yellow tier - 2x damage - 1 hit
Vulnerability.Tier.Crippled,Orange tier - 4x damage - 3 hits
Vulnerability.Tier.Exposed,Red tier - 8x damage - 5 hits
Character.Type.Player,Player character
Character.Type.Enemy.Duelist,Balanced enemy type
Character.Type.Enemy.Brute,Heavy enemy type
Character.Type.Enemy.Controller,Trapper enemy type
Character.Type.Boss,Boss character
Interactable.Type.Vent,Vent - launches projectile
Interactable.Type.Valve,Valve - AoE effect
Interactable.State.Ready,Interactable ready to use
Interactable.State.Cooldown,Interactable on cooldown
Interactable.State.Focused,Interactable is targeted
Ability.Risk.Low,No integrity cost
Ability.Risk.Medium,Minor integrity cost
Ability.Risk.High,Major integrity cost
Attack.Type.Jab,Basic jab attack (Legacy)
Attack.Type.Heavy,Heavy attack (Legacy)
Attack.Type.Special,Special attack (Legacy)
Attack.Type.Soul,Soul attack - unblockable (Legacy)
Attack.Type.Catch,Catch special - gap closer (Legacy)
Attack.Property.Blockable,Can be blocked (Legacy)
Attack.Property.Unblockable,Cannot be blocked (Legacy)
Damage.Type.Physical,Physical damage (Legacy)
Damage.Type.Fire,Fire damage (Legacy)
Damage.Type.Electric,Electric damage (Legacy)
Damage.Type.Poison,Poison damage (Legacy)
Damage.Multiplier.Vulnerability,Vulnerability multiplier (Legacy)
Ability.Focus,Focus mode active (Legacy)
Ability.SoftLock,Soft lock targeting (Legacy)
